account_npi,call_type,call_record_type,date,account_target_type,territory
1588798593,Sample Only,Sampled Call,3/26/2024,NON-TARGET,3201S1
1021079171,Detail Only,Group Training,,DSS TOP 30,3502S1
,Detail with Sample,Event Call Report,6/5/2024,DSA NEXT BEST,3602S1
2160846586,Sample Only,Non-Sampled Call,7/27/2024,DSS TOP 30,3502S1
1592455271,Group Detail,HCP Call,11/8/2024,DSS TOP 30,3102A1
,Detail Only,Event Call Report,,DSS TOP 30,3102A1
1362324954,Call Only,Group Training,1/14/2024,DSA NEXT BEST,3302A1
2395469964,Group Detail,P2P Call,4/14/2024,DSA NEXT BEST,3303A1
1885485142,Group Detail,P2P Call,7/11/2024,DSA TOP 30,3101A1
1750186189,Group Detail,Sampled Call,7/31/2024,DSA NT AFFILIATE,3502S1
2553790191,Call Only,P2P Call,10/1/2024,DSS TOP 30,3401S1
,Detail with Sample,Sampled Call,,DSA NT AFFILIATE,3402S1
1311339111,Group Detail,Group Training,3/13/2024,DSA NT AFFILIATE,3502S1
2314928934,Detail with Sample,Sampled Call,11/17/2024,DSA NEXT BEST,3102A1
2288943414,Group Detail,HCP Call,6/23/2024,DSS TOP 30,3401S1
2714437213,Detail with Sample,P2P Call,10/2/2024,DSA NT AFFILIATE,3602S1
1047261050,Call Only,P2P Call,3/31/2024,DSA NT AFFILIATE,3102A1
,Call Only,HCP Call,4/22/2024,DSA NT AFFILIATE,3103A1
,Group Detail,Group Training,,DSA TOP 30,3302A1
1698895545,Detail Only,Non-Sampled Call,3/18/2024,NON-TARGET,3202S1
2300455892,Sample Only,POC Call Report,12/13/2024,DSA TOP 30,3602S1
2549000095,Detail with Sample,Marketing Event,,DSA NT AFFILIATE,3602S1
1235441719,Group Detail,POC Call Report,10/5/2024,DSA NT AFFILIATE,3102A1
1316973765,Group Detail,Event Call Report,2/28/2024,NON-TARGET,3102A1
2262881689,Sample Only,Marketing Event,2/28/2024,DSA NEXT BEST,3203S1
2714437213,Group Detail,POC Call Report,11/24/2024,NON-TARGET,3602S1
1752655959,Detail Only,Non-Sampled Call,9/6/2024,NON-TARGET,3201S1
,Detail with Sample,HCP Call,,DSS TOP 30,3303A1
1718238866,Detail Only,Non-Sampled Call,7/19/2024,DSA NT AFFILIATE,3302A1
,Sample Only,Group Training,,NON-TARGET,3102A1
2390902936,Detail Only,HCP Call,5/14/2024,DSA NT AFFILIATE,3402S1
,Detail with Sample,Sampled Call,12/21/2024,DSA TOP 30,3202S1
1468176811,Group Detail,Event Call Report,8/6/2024,DSA TOP 30,3301A1
1815494354,Call Only,POC Call Report,2/13/2024,DSS TOP 30,3602S1
1496617117,Detail Only,P2P Call,6/21/2024,DSS TOP 30,3303A1
2259670816,Group Detail,Group Training,11/29/2024,DSA TOP 30,3301A1
2112312927,Detail Only,HCP Call,3/5/2024,DSA NT AFFILIATE,3201S1
1384011498,Call Only,Event Call Report,10/2/2024,DSA NEXT BEST,3201S1
FEBC3AEEED,Detail Only,HCP Call,1/1/2024,DSA TOP 30,3201S1
2730575871,Detail with Sample,Non-Sampled Call,6/7/2024,DSA NEXT BEST,3501A1
8216604077,Detail Only,Non-Sampled Call,2/15/2024,DSA NT AFFILIATE,3602S1
2836357679,Detail with Sample,Sampled Call,8/20/2024,DSA NT AFFILIATE,3301A1
2356848651,Sample Only,SAM HCO Call Report,3/25/2024,DSA NT AFFILIATE,3101A1
1686778752,Detail Only,Group Training,5/14/2024,DSA TOP 30,3501A1
1942740596,Group Detail,POC Call Report,2/19/2024,NON-TARGET,3601A1
1316746054,Sample Only,Group Training,1/27/2024,NON-TARGET,3602S1
2367415177,Detail with Sample,Marketing Event,5/6/2024,DSA TOP 30,3502S1
,Detail Only,P2P Call,,NON-TARGET,3201S1
2797345978,Sample Only,P2P Call,4/27/2024,NON-TARGET,3501A1
2102231129,Detail Only,Event Call Report,3/1/2024,DSS TOP 30,3101A1
,Group Detail,POC Call Report,12/15/2024,DSA NT AFFILIATE,3202S1
1160539308,Call Only,Non-Sampled Call,3/12/2024,DSA TOP 30,3203S1
6138931644,Sample Only,Sampled Call,10/25/2024,DSA NT AFFILIATE,3303A1
1287279606,Sample Only,Non-Sampled Call,12/27/2024,DSS TOP 30,3402S1
