account_npi,call_type,call_record_type,date,account_target_type,territory
1826702266,Call Only,Group Training,1/15/2024,DSS TOP 30,3601A1
2785066733,Call Only,Sampled Call,12/17/2024,DSA TOP 30,3402S1
2958343713,Detail Only,SAM HCO Call Report,6/15/2024,NON-TARGET,3601A1
,Detail Only,Sampled Call,10/14/2024,NON-TARGET,3102A1
2584844647,Detail Only,HCP Call,11/9/2024,DSA NEXT BEST,3502S1
1419640683,Group Detail,Non-Sampled Call,2/13/2024,DSA NEXT BEST,3103A1
,Group Detail,P2P Call,,NON-TARGET,3602S1
2126968136,Call Only,Group Training,8/26/2024,DSA NEXT BEST,3601A1
1654893740,Group Detail,HCP Call,7/13/2024,DSS TOP 30,3101A1
,Detail with Sample,Sampled Call,4/14/2024,DSS TOP 30,3201S1
2487096733,Call Only,Group Training,7/16/2024,DSA TOP 30,3102A1
1918732502,Group Detail,Event Call Report,,NON-TARGET,3602S1
1016986851,Group Detail,Group Training,8/6/2024,DSA TOP 30,3601A1
1729786903,Sample Only,Non-Sampled Call,,NON-TARGET,3203S1
1812159380,Group Detail,SAM HCO Call Report,9/15/2024,DSA TOP 30,3103A1
2021078437,Detail Only,Non-Sampled Call,7/22/2024,NON-TARGET,3101A1
2273782579,Detail with Sample,Event Call Report,12/18/2024,DSA TOP 30,3602S1
2594449908,Detail Only,P2P Call,4/26/2024,DSS TOP 30,3401S1
4938776822,Detail with Sample,Non-Sampled Call,,NON-TARGET,3203S1
2981153915,Group Detail,Marketing Event,10/20/2024,DSA NEXT BEST,3401S1
1600392391,Sample Only,Group Training,1/20/2024,DSA TOP 30,3102A1
,Call Only,SAM HCO Call Report,2/19/2024,DSA NT AFFILIATE,3301A1
,Detail with Sample,Group Training,,DSA NT AFFILIATE,3303A1
2454968476,Group Detail,Non-Sampled Call,2/15/2024,DSS TOP 30,3101A1
2022724310,Detail with Sample,Group Training,9/4/2024,NON-TARGET,3501A1
2543271817,Group Detail,Event Call Report,8/25/2024,NON-TARGET,3102A1
1111709387,Sample Only,Marketing Event,11/20/2024,DSA TOP 30,3202S1
2227090155,Sample Only,SAM HCO Call Report,10/17/2024,DSA NT AFFILIATE,3402S1
,Detail Only,POC Call Report,,NON-TARGET,3203S1
1554912145,Call Only,Sampled Call,11/17/2024,DSS TOP 30,3201S1
2879014831,Call Only,SAM HCO Call Report,,DSA TOP 30,3602S1
B0800E1A6E,Call Only,Marketing Event,1/8/2024,DSA NT AFFILIATE,3102A1
2897319303,Sample Only,SAM HCO Call Report,,DSA NT AFFILIATE,3102A1
1506193828,Detail with Sample,SAM HCO Call Report,12/10/2024,NON-TARGET,3602S1
,Detail Only,SAM HCO Call Report,,DSA TOP 30,3301A1
,Group Detail,Non-Sampled Call,12/27/2024,DSA NT AFFILIATE,3302A1
,Detail with Sample,P2P Call,,DSA TOP 30,3501A1
1086369616,Detail Only,POC Call Report,3/6/2024,DSA TOP 30,3203S1
1744078039,Group Detail,Non-Sampled Call,,DSA TOP 30,3301A1
9381291625,Detail Only,P2P Call,9/4/2024,DSA NEXT BEST,3103A1
1344284920,Sample Only,SAM HCO Call Report,11/3/2024,DSA TOP 30,3202S1
1358157665,Call Only,Non-Sampled Call,7/11/2024,NON-TARGET,3602S1
3124416714,Detail Only,P2P Call,8/16/2024,DSS TOP 30,3101A1
2148527415,Detail with Sample,Group Training,6/19/2024,DSA TOP 30,3303A1
1025975309,Call Only,HCP Call,5/13/2024,DSS TOP 30,3602S1
1546851278,Sample Only,HCP Call,11/26/2024,DSS TOP 30,3302A1
2868093630,Group Detail,POC Call Report,8/27/2024,DSS TOP 30,3303A1
1118816089,Call Only,Marketing Event,9/10/2024,DSA NEXT BEST,3401S1
1743510198,Detail Only,Marketing Event,5/26/2024,NON-TARGET,3201S1
2823449240,Detail with Sample,Group Training,5/28/2024,DSS TOP 30,3502S1
2387680214,Sample Only,P2P Call,1/2/2024,DSS TOP 30,3303A1
1013210701,Group Detail,Marketing Event,3/15/2024,DSA NT AFFILIATE,3501A1
1726844580,Sample Only,POC Call Report,12/11/2024,NON-TARGET,3102A1
2544002476,Group Detail,Non-Sampled Call,3/9/2024,DSA NT AFFILIATE,3303A1
,Detail Only,Event Call Report,11/23/2024,DSA NT AFFILIATE,3303A1
2693544930,Call Only,POC Call Report,8/11/2024,DSA NEXT BEST,3402S1
,Detail Only,Marketing Event,,DSS TOP 30,3102A1
1239948167,Sample Only,Event Call Report,12/26/2024,NON-TARGET,3402S1
